匚	a
趺	fjeeoo
番	fji
啡	fjie
乏	fjo
忿	fjoa
趽	fjoe
父	fju
咐	fjui
跗	fjuie
吩	fjuo
蹯	fjuoi
斧	fjuu
风	fk
犯	fka
狒	fkae
凤	fkao
匐	fke
鲼	fkei
负	fki
鲱	fkie
凡	fko
逢	fkoa
鲂	fkoe
饭	fku
凫	fkua
鳆	fkue
鲋	fkui
孵	fkuo
复	fl
繁	fla
氟	flae
篚	fle
簠	flei
缶	fli
馡	flie
牥	flo
符	flu
馥	flue
筏	flui
氛	fluo
稃	fluoa
馚	fluoau
反	fm
返	fmo
彷	fmoe
舫	fmoeu
妇	fna
妃	fnae
封	fne
堼	fnei
赴	fni
墦	fnu
夫	fo
邞	foa
酆	foai
奉	foe
麸	foee
玞	foeeo
珐	foei
韨	foeu
丰	foi
璠	fou
玢	fouo
琈	fouoa
否	fp
砩	fpa
砝	fpe
砆	fpee
豮	fpei
奋	fpi
不	fpo
矾	fpu
砜	fpua
黻	fq
黼	fqe
非	fr
翡	fra
镄	frae
棐	fre
蜚	fri
剕	frii
斐	fro
钫	froe
锋	fru
钒	frua
富	fs
怫	fsa
愤	fse
悱	fsi
宓	fso
法	f
沸	ft
氾	fta
沣	fte
涪	fto
瀵	ftou
泛	ftu
沨	ftua
淝	ftuaa
浲	ftuae
洑	ftui
浮	ftuo
汾	ftuoa
滏	ftuoe
扶	fu
拂	fua
抚	fue
霏	fui
拊	fuu
范	fw
茀	fwa
芙	fwe
莆	fwei
葑	fweie
芾	fweii
棻	fweio
芣	fweu
菲	fwi
芳	fwo
藩	fwoo
芬	fwu
菔	fwua
蘩	fwue
茯	fwui
苻	fwuie
蕃	fwuo
莩	fwuoa
翂	fx
覆	fy
甫	fyo
敷	fyu
覅	fyua
酚	fyuo
防	fz
附	fzu
跟	gj
公	gja
个	g
给	g
阁	ga
闺	gae
根	gb
概	gba
弓	gbaa
橄	gbae
桂	gbe
柜	gbea
杆	gbee
杠	gbei
柑	gbeie
梗	gbeio
	gbeiu
棍	gbi
桄	gbio
棺	gbo
槁	gboe
椁	gboea
艮	gboo
夬	gbooo
改	gbu
格	gbua
构	gbuaa
枸	gbuai
敢	gbue
梏	gbuei
栝	gbueia
槔	gbui
桧	gbuo
肝	gce
肛	gcei
膈	gceia
红	gceie
臌	gceiei
绀	gceiee
绠	gceio
肱	gceu
贯	gci
纲	gcia
腘	gciae
绲	gciaea
胱	gcio
缟	gco
股	gc
胳	gcu
纥	gcue
缑	gcui
纶	gcuo
胍	gcuu
该	gd
冠	gde
褂	gdei
诖	gdeie
诂	gdeii
祼	gdi
雇	gdu
诡	gdua
袼	gduai
诰	gdue
诟	gduu
国	ge
乢	gea
固	gee
蛄	geei
罡	geeie
眭	geeiei
罟	geeii
刚	gei
贵	geia
骨	geiae
帼	geiaee
蝈	geiaee
蛊	geiaee
亘	geiaee
崓	geiaei
崮	geiaei
鬲	geiai
蜾	geiao
岗	geiau
刿	geii
果	geo
赅	geoe
崞	geoea
购	geu
骼	geua
鹘	geuae
岣	geuai
虼	geue
嶲	geui
冈	geuo
蚣	geuoa
蛤	geuoi
高	gf
郭	gfa
庚	gfae
冮	gfe
庋	gfei
疳	gfeie
裹	gfi
膏	gfia
痼	gfiae
赓	gfiau
戆	gfo
广	gfu
赣	gfua
鹒	gfuae
疙	gfue
廆	gfui
衮	gfuo
关	gg
爟	gge
馘	ggea
盖	ggi
粿	ggia
糕	ggo
羔	ggoo
羹	ggou
羖	ggu
供	gh
鬼	gha
躬	ghae
郐	ghai
伽	ghau
估	ghe
睾	ghei
颌	gheu
皋	gheue
刽	ghi
盥	ghia
合	ghiae
倌	gho
鸽	ghu
佝	ghua
仡	ghue
傀	ghui
皈	ghuu
轨	gi
轧	gia
轱	gie
匦	giea
旰	giee
杲	giei
匮	gii
辊	giia
戈	gio
晐	gioe
炅	giou
晷	giu
哏	gjae
趹	gjaeo
咖	gjau
咕	gje
噶	gjei
嗝	gjeia
咁	gjeie
唝	gjeii
哽	gjeio
嘎	gjeu
谷	gji
呙	gjia
虢	gjie
剐	gjii
咣	gjio
跪	gju
咯	gjua
呱	gjuu
各	gk
勾	gka
鲑	gke
鲄	gkei
鲠	gkeio
鳜	gkeu
鳡	gkeuo
龟	gki
旮	gkia
